id,filename,ident,name,type,frequency_khz,latitude_deg,longitude_deg,elevation_ft,iso_country,magnetic_variation_deg,usage_type,power,associated_airport,power_category
91651,Sawani_NDB_FJ,NO,Sawani,ndb,330,-18.01469994,178.4680023,NA,FJ,12.22,BOTH,MEDIUM,NFNA,High
91652,Maumere_NDB_ID,NO,Maumere,ndb,250,-8.6354599,122.2360001,115,ID,2.06,BOTH,MEDIUM,WATC,High
91653,Nairobi_NDB_KE,NO,Nairobi,ndb,278,-1.36590004,36.86410141,NA,KE,0.028,TERMINAL,LOW,HKJK,High
91654,Nioro_NDB_ML,NO,Nioro,ndb,270,15.23390007,-9.583729744,NA,ML,-5.307,BOTH,MEDIUM,GANR,High
91655,Nadym_NDB_RU,NO,Nadym,ndb,485,65.48000336,72.70330048,NA,RU,20.544,BOTH,HIGH,NA,High
91656,Pamplona_NDB_ES,NO,Pamplona,ndb,386,42.75,-1.631669998,NA,ES,-1.468,TERMINAL,LOW,NA,High
91657,Boryspil_NDB_UA,NO,Boryspil,ndb,310,50.28730011,30.90069962,NA,UA,6.19,TERMINAL,LOW,UKBB,High
91658,Termez_NDB_UZ,NO,Termez,ndb,398,37.29999924,67.36499786,NA,UZ,3.338,BOTH,MEDIUM,UTST,High
91660,Nova_NDB_BR,NOA,Nova,ndb,215,-22.71850014,-43.48049927,164,BR,-21.308,BOTH,MEDIUM,SDNY,High
91661,Noibai_VOR-DME_VN,NOB,Noibai,vor-dme,116100,21.21299934,105.8349991,33,VN,-1.117,BOTH,HIGH,VVNB,High
91662,Orange_Grove_TACAN_US,NOG,Orange Grove,tacan,133600,27.89529991,-98.04260254,241,US,5.24,BOTH,LOW,NA,High
91663,Nolvik_VOR_SE,NOL,Nolvik,vor,113200,57.77330017,11.82289982,NA,SE,1.413,BOTH,HIGH,NA,High
91664,No_Leon_VOR-DME_VE,NOL,No Leon,vor-dme,116100,10.43970013,-67.15899658,6900,VE,-11.031,BOTH,HIGH,NA,High
91666,Noronha_NDB_BR,NOR,Noronha,ndb,300,-3.858390093,-32.42819977,5,BR,-20.498,BOTH,MEDIUM,SBFN,High
91667,Nottingham_NDB_GB,NOT,Nottingham,ndb,430,52.92169952,-1.079329967,NA,GB,-2.525,BOTH,HIGH,EGBN,High
91668,Novara_NDB_IT,NOV,Novara,ndb,292,45.42409897,8.793860435,NA,IT,0.584,BOTH,LOW,NA,High
85719,Alexandria_VOR-DME_EG,NOZ,Alexandria,vor-dme,115900,31.18767,29.95071,10,EG,3.2,BOTH,HIGH,HEAX,High
91669,New_Plymouth_VOR-DME_NZ,NP,New Plymouth,vor-dme,114400,-39.00719833,174.1840057,97,NZ,20.329,BOTH,HIGH,NZNP,High
91670,Napuka_NDB_PF,NP,Napuka,ndb,376,-14.1722002,-141.2649994,98,PF,11.522,TERMINAL,MEDIUM,NTGN,High
91671,Nagpur_NDB_IN,NP,Nagpur,ndb,372,21.12269974,79.03910065,NA,IN,-0.384,BOTH,MEDIUM,VANP,High
91672,Nampula_NDB_MZ,NP,Nampula,ndb,382,-15.06820011,39.33380127,NA,MZ,-7.594,BOTH,MEDIUM,FQNP,High
91673,New_Plymouth_NDB_NZ,NP,New Plymouth,ndb,370,-39.00220108,174.1820068,NA,NZ,20.327,BOTH,MEDIUM,NZNP,High
91674,Pskov_NDB_RU,NP,Pskov,ndb,300,57.8266983,28.42329979,NA,RU,7.426,TERMINAL,MEDIUM,ULOO,High
91675,Nakhon_Phanom_NDB_TH,NP,Nakhon Phanom,ndb,383,17.39240074,104.6429977,NA,TH,-0.473,BOTH,MEDIUM,VTUW,High
91676,Pensacola_TACAN_US,NPA,Pensacola,tacan,117200,30.3579998,-87.3164978,24,US,-1.261,BOTH,MEDIUM,KNPA,High
91677,Napoli_Capodochino_DME_IT,NPC,Napoli Capodochino,dme,110150,40.88430023,14.28359985,291,IT,2.041,TERMINAL,LOW,NA,High
91678,Pohang_(Navy)_VORTAC_KR,NPH,Pohang (Navy),vortac,109600,35.9864006,129.4089966,70,KR,-7.304,TERMINAL,LOW,RKTH,High
91679,Nepalgunj_NDB_NP,NPJ,Nepalgunj,ndb,330,28.09810066,81.65579987,50,NP,0.218,BOTH,LOW,VNNG,High
91680,Sumbawa_NDB_ID,NQ,Sumbawa,ndb,305,-8.474329948,117.4049988,16,ID,1.465,BOTH,MEDIUM,WADS,High
91681,Turkmenabat_NDB_TM,NQ,Turkmenabat,ndb,326,39.13999939,63.58000183,NA,TM,4.278,BOTH,MEDIUM,UTAV,High
91682,Narsarsuaq_DME_GL,NQ,Narsarsuaq,dme,111850,61.16040039,-45.40710068,112,GL,-26.432,TERMINAL,HIGH,BGBW,High
91683,Kingsville_TACAN_US,NQI,Kingsville,tacan,117800,27.4993,-97.80549622,46,US,5.169,BOTH,HIGH,KNQI,High
91684,Nuqui_NDB_CO,NQI,Nuqui,ndb,461,5.713610172,-77.26000214,16,CO,-3.396,LO,MEDIUM,SKNQ,High
91685,Key_West_TACAN_US,NQX,Key West,tacan,113100,24.58009911,-81.68229675,16,US,-4.187,BOTH,HIGH,KNQX,High
91686,Napier_VOR-DME_NZ,NR,Napier,vor-dme,113800,-39.4538002,176.8690033,6,NZ,21.07,BOTH,HIGH,NZNR,High
91687,Moela_NDB_BR,NR,Moela,ndb,305,-24.05050087,-46.2641983,NA,BR,-19.585,LO,MEDIUM,NA,High
91688,Waingapu_NDB_ID,NR,Waingapu,ndb,295,-9.670490265,120.2990036,33,ID,2.017,BOTH,MEDIUM,WADW,High
91689,Lilabari_NDB_IN,NR,Lilabari,ndb,381,27.28680038,94.09089661,NA,IN,-0.269,BOTH,MEDIUM,VELR,High
91690,Napier_NDB_NZ,NR,Napier,ndb,354,-39.47230148,176.871994,NA,NZ,21.077,BOTH,MEDIUM,NZNR,High
91691,Novolokti_NDB_RU,NR,Novolokti,ndb,750,54.38330078,82.9332962,NA,RU,8.221,BOTH,HIGH,NA,High
91692,Mayport_TACAN_US,NRB,Mayport,tacan,111400,30.3885994,-81.42310333,9,US,-5.352,BOTH,MEDIUM,NA,High
91693,Narembeen_NDB_AU,NRB,Narembeen,ndb,227,-32.07170105,118.3949966,NA,AU,-0.326,BOTH,HIGH,NA,High
91694,Naracoorte_NDB_AU,NRC,Naracoorte,ndb,287,-36.97819901,140.723999,NA,AU,9.299,BOTH,LOW,YNRC,High
91695,Narita_VOR-DME_JP,NRE,Narita,vor-dme,117900,35.78229904,140.3630066,153,JP,-6.521,BOTH,HIGH,RJAA,High
91696,Chulman_VOR-DME_RU,NRG,Chulman,vor-dme,113800,56.90829849,124.8769989,2697,RU,-13.26,BOTH,HIGH,NA,High
91697,Neubrandenburg_NDB_DE,NRG,Neubrandenburg,ndb,357,53.60279846,13.33829975,264,DE,2.113,TERMINAL,LOW,EDBN,High
