id.x,filename,ident,name.x,type.x,frequency_khz,latitude_deg.x,longitude_deg.x,elevation_ft.x,iso_country.x,magnetic_variation_deg,usage_type,power,associated_airport,power_category,id.y,type.y,name.y,latitude_deg.y,longitude_deg.y,elevation_ft.y,continent,iso_country.y,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,x16,x17,x18,airport_type,airport_size,latitude,longitude,distance_from_dc,is_critical_navaid
85376,Akeno_TACAN_JP,AKT,Akeno,tacan,112050,34.5284996,136.6750031,20,JP,-6.529,BOTH,HIGH,RJOE,High,29649,small_airport,JGSDF Akeno Airfield,34.533298,136.671997,20,AS,JP,JP-24,Ise,no,RJOE,NA,NA,NA,NA,NA,small_airport,Small,34.5284996,136.6750031,213.75675555129655,FALSE
85377,Preveza_Aktion_VOR-DME_GR,AKT,Preveza/Aktion,vor-dme,110000,38.92490005,20.7614994,-10,GR,3.003,TERMINAL,MEDIUM,NA,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.92490005,20.7614994,97.79840100172238,FALSE
85378,Aktau_VOR-DME_KZ,AKT,Aktau,vor-dme,113300,43.85860062,51.10189819,59,KZ,6.372,BOTH,HIGH,UATE,High,6436,medium_airport,Aktau Airport,43.860093,51.09086,73,AS,KZ,KZ-MAN,Aktau,yes,UATE,SCO,NA,NA,NA,NA,medium_airport,Other,43.85860062,51.10189819,128.23442583673574,FALSE
85379,Akujarvi_NDB_FI,AKU,Akujarvi,ndb,432,68.67839813,27.61459923,NA,FI,10.577,LO,LOW,EFIV,High,2314,medium_airport,Ivalo Airport,68.6072998,27.40530014,481,EU,FI,FI-10,Ivalo,yes,EFIV,IVL,NA,NA,NA,NA,medium_airport,Other,68.67839813,27.61459923,108.8037707489148,FALSE
85380,Klawock_NDB-DME_US,AKW,Klawock,ndb-dme,229,55.5685997,-133.0789948,30,US,21.455,TERMINAL,MEDIUM,PAKW,High,5383,medium_airport,Klawock Airport,55.579201,-133.076004,80,NA,US,US-AK,Klawock,no,PAKW,KLW,AKW,NA,NA,NA,medium_airport,Other,55.5685997,-133.0789948,58.466388887422724,FALSE
85381,Malolo_NDB_FJ,AL,Malolo,ndb,385,-17.82559967,177.3869934,NA,FJ,12.167,BOTH,LOW,NFFN,High,4959,medium_airport,Nadi International Airport,-17.7553997,177.4429932,59,OC,FJ,FJ-W,Nadi,yes,NFFN,NAN,NA,NA,NA,NA,medium_airport,Other,-17.82559967,177.3869934,260.6724536486564,FALSE
85382,Halim_Perdanakusuma_NDB_ID,AL,Halim Perdanakusuma,ndb,215,-6.19396019,107.0400009,84,ID,0.465,BOTH,MEDIUM,WIHH,High,26832,medium_airport,Halim Perdanakusuma International Airport,-6.266610146,106.8909988,84,AS,ID,ID-JK,Jakarta,yes,WIHH,HLP,NA,NA,NA,NA,medium_airport,Other,-6.19396019,107.0400009,189.52155575404203,FALSE
85383,Embakasi_NDB_KE,AL,Embakasi,ndb,379,-1.376080036,36.91910172,NA,KE,0.014,BOTH,HIGH,HKJK,High,3206,large_airport,Jomo Kenyatta International Airport,-1.319239974,36.92779922,5330,AF,KE,KE-110,Nairobi,yes,HKJK,NBO,NA,NA,NA,NA,large_airport,Other,-1.376080036,36.91910172,120.8665089198304,FALSE
85384,Almaty_NDB_KZ,AL,Almaty,ndb,443,43.38259888,77.10209656,NA,KZ,4.453,BOTH,MEDIUM,UAAA,High,6421,large_airport,Almaty International Airport,43.354267,77.042828,2234,AS,KZ,KZ-ALA,Almaty,yes,UAAA,ALA,NA,NA,NA,NA,large_airport,Other,43.38259888,77.10209656,154.20395408568095,FALSE
85385,Lepsoy_NDB_NO,AL,Lepsoy,ndb,398,62.59609985,6.221519947,NA,NO,-1.037,TERMINAL,LOW,NA,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.59609985,6.221519947,86.56285847968711,FALSE
85386,Alabat_NDB_PH,AL,Alabat,ndb,247,14.22029972,121.9240036,6,PH,-1.163,BOTH,MEDIUM,RPLY,High,32223,small_airport,Alabat Island Airport,14.232,121.929001,6,AS,PH,PH-QUE,Perez,no,RPLY,NA,NA,NA,NA,NA,small_airport,Small,14.22029972,121.9240036,200.48661852294072,FALSE
